Column1, Rank,Company,Country,Sales,Assets,Market Value,Sector,Industry,Snippet,
240,241,Kroger,United States,115.3,375,27-Mar,Consumer Staples,Food Retail,TheKrogerCo. ist mit einem Umsatz von ber 100 Milliarden US-Dollar (2014) die gr_xDE3F__xDD25_ Lebensmittel-Supermarkt-Kette und der drittgr_xDE3F__xDD25_ Einzelh䮤ler in...,
241,242,Abbott Laboratories,United States,20-Sep,55,75.7,Health Care,Pharmaceuticals,"Erfahren Sie mehr berAbbott, das globale Gesundheitsunternehmen, das innovative Forschung durchfhrt und Produkte fr die menschliche Gesundheit in?...",
242,243,HCA Holdings,United States,41.5,338,32.6,Health Care,Healthcare Services,"Hospital Corporation of America ist ein gewinnorientiertes US-amerikanisches Unternehmen mit Sitz in Nashville, Tennessee, der mehrere Gesundheitseinrichtungen an rund 2000 Versorgungsstandorten besitzt und betreibt. DazNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtHospital Corporation of America ist ein gewinnorientiertes US-amerikanisches Unternehmen mit Sitz in Nashville, Tennessee, der mehrere Gesundheitseinrichtungen an rund 2000 Versorgungsstandorten besitzt und betreibt. Dazu geh_xDE8A__xDD6E_ etwa 185 Krankenh䵳er, Chirurgiezentren, Notaufnahmen, Notfallzentren und Ĳztekliniken in 21 Bundesstaaten und im Vereinigten K_xDE7A__xDE67_reich.",
243,244,State Bank of India,India,43.7,4933,36.5,Financials,Regional Banks,Die State Bank of India ist mit 100 Millionen Kunden und fast 10.000 Filialen die gr_xDE3F__xDD25_ Bank in Indien,
244,245,DBS Group,Singapore,10-Mar,3335,34.4,Financials,Major Banks,Die DBS Bank mit Hauptsitz in Singapur ist die gr_xDE3F__xDD25_ Bank Sdostasiens. Sie wurde 1968 von der dortigen Regierung geleiteten Entwicklungsfinanzinstitution gegrndet und hieߠbis Juli 2003 The Development Bank of Singapore Limited. Die Bank ist im StraiNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie DBS Bank mit Hauptsitz in Singapur ist die gr_xDE3F__xDD25_ Bank Sdostasiens. Sie wurde 1968 von der dortigen Regierung geleiteten Entwicklungsfinanzinstitution gegrndet und hieߠbis Juli 2003 The Development Bank of Singapore Limited. Die Bank ist im Straits Times Index an der Singapore Exchange gelistet.,
245,246,Oil & Natural Gas,India,19-Sep,577,37.2,Energy,Oil & Gas Operations,OilandNatural GasCorporation Limited (ONGC) ist ein Erdgas- und Mineral_xDE73__xDD6E_ternehmen aus Indien mit Firmensitz in Dehradun.,
246,247,American Airlines Group,United States,40.2,513,21-Jan,Financials,,"Gegrndet im Jahr 1930, sind wir heute eine der gr_xDE3F__xDD25_n Fluggesellschaften der Welt. Im Laufe der Jahre hat American mehr als 900.000 Arbeitspl䴺e weltweit geschaffen und .",
247,248,BB&T,United States,11-Mar,2212,35.6,Financials,Regional Banks,"BB&T Corporation ist ein US-amerikanisches Unternehmen mit Firmensitz in Winston-Salem, North Carolina. Das Unternehmen ist als Kreditinstitut und Investmentgesellschaft in den Vereinigten Staaten t䴩g und ist im Aktienindex S&P 500 gelistet.",
248,249,Nike,United States,33.8,,91.2,Financials,,"Nike Inc. ist ein 1964 bzw. 1971 gegrndeter, international t䴩ger, US-amerikanischer Sportartikelhersteller. Sein Firmensitz ist Beaverton im US-Bundesstaat Oregon. Nike ist seit 1989 weltweit fhrender Sportartikelanbieter.",
249,250,Schneider Electric,France,27-Mar,441,41.9,Industrials,Electrical Equipment,"Schneider Electric SE ist ein b_xDE8B__xDCE5_nnotierter Elektrotechnik-Konzern, der in den Gebieten elektrische Energieverteilung und industrielle Automation t䴩g ist. Das Unternehmen hat seinen Sitz in Rueil-Malmaison bei Paris und ist in ca. 1Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtSchneider Electric SE ist ein b_xDE8B__xDCE5_nnotierter Elektrotechnik-Konzern, der in den Gebieten elektrische Energieverteilung und industrielle Automation t䴩g ist. Das Unternehmen hat seinen Sitz in Rueil-Malmaison bei Paris und ist in ca. 150 L䮤ern vertreten.",
250,251,Thermo Fisher Scientific,United States,18-Mar,459,59.9,Utilities,Precision Healthcare Equipment,"https://www.thermofisher.com/de/de/home/brands/thermo-scientificThermo Scientific Produkte untersttzen Wissenschaftler in aller Welt bei ihren t䧬ichen Herausforderungen. Von der Routineanalyse bis hin zu Pionierleistungen helfen unsere Innovationen Wissenschaftlern, komplexen analytischen Herausforderungen zu begegnen und geben ihnen die M_xDE5E__xDF29_chkeit, ihre Arbeiten auf ihre bevorzugte Weise auszufhren.",
251,252,Danone,France,24-Mar,464,42,Consumer Staples,Food Processing,"https://www.danone.deWir sind stolz, dass unser Waters Gesch䦴sbereich in der Schweiz, Evian-Volvic Suisse, vor Kurzem die B Corp-Zertifizierung erlangt hat  als zweites Unternehmen in der D-A-CH Region nach Danone Waters Deutschland. Alle weiteren Gesch䦴sbereiche werden bis 2025 folgen. Weitere Informationen zu Gesch䴺te Lesezeit: 30 Sekunden",
252,253,Samsung Life Insurance,South Korea,24-Jan,2191,18-Feb,Financials,Life & Health Insurance,Samsung Life Insurance ist eine sdkoreanische multinationale Versicherungsgesellschaft mit Hauptsitz in Seoul und eine Tochtergesellschaft der Samsung-Gruppe. Es ist das gr_xDE3F__xDD25_ Versicherungsunternehmen in Sdkorea und geNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtSamsung Life Insurance ist eine sdkoreanische multinationale Versicherungsgesellschaft mit Hauptsitz in Seoul und eine Tochtergesellschaft der Samsung-Gruppe. Es ist das gr_xDE3F__xDD25_ Versicherungsunternehmen in Sdkorea und geh_xDE8B__xDD20_zu den 500 gr_xDE3F__xDD25_n Unternehmen weltweit nach Umsatz.,
253,254,Air Liquide,France,20-Jan,465,45,Materials,Specialized Chemicals,"Air Liquideist ein Weltmarktfhrer bei Gasen, Technologien und Services fr Industrie und Gesundheit. Mit rund 64.500 Mitarbeitern in 78 L䮤ern versorgt Air?...",
254,255,Huaxia Bank,China,15-Sep,3409,17-Jun,Financials,Regional Banks,"Hua Xia Bank ist ein chinesisches Unternehmen mit Sitz in Peking. Das Unternehmen ist im Aktienindex SSE 50 gelistet. Das Unternehmen bietet Finanzdienstleistungen verschiedener Art fr seine Kunden an. Hua Xia Bank wurden 1992 gegrndet. Die Deutsche Bank ist seit 2006 an  Hua Xia Bank ist ein chinesisches Unternehmen mit Sitz in Peking. Das Unternehmen ist im Aktienindex SSE 50 gelistet. Das Unternehmen bietet Finanzdienstleistungen verschiedener Art fr seine Kunden an. Hua Xia Bank wurden 1992 gegrndet. Die Deutsche Bank ist seit 2006 an der Bank beteiligt und hielt ursprnglich einen Anteil von 17,12 %. Durch die Kapitalerh_xDE63__xDD6E_g 2010 erh_xDE63__xDD25_ die Deutsche Bank ihre Beteiligung auf das H_xDE4E__xDE33_tmaߠfr ausl䮤ische Investoren von 19,99 % der Aktien. Ende Dezember ... +",
255,256,Orix,Japan,22-Aug,955,19-Aug,Financials,Consumer Financial Services,"Die Orix Vertriebs GmbH ist der Automaten Aufsteller in Bayern und Baden Wrttemberg. Die Orix Vertriebs GmbH wurde im Jahr 1985 in Mnchen gegrndet. Zu Beginn besch䦴igten wir uns haupts䣨lich mit der Aufstellung von Kondomautomaten. Diese Kondom- und Sex Gags- Automaten k_xDE7A__xDFA5_n Sie seit dieser Zeit in den verschiedensten Gastst䴴en, Einkaufsm䲫ten, Vergngungsparks ",
256,257,Bank of Beijing,China,13-Apr,3063,21-May,Financials,Regional Banks,Bank of Beijing ist ein chinesisches Unternehmen mit Firmensitz in Peking. Das Unternehmen ist im Bankwesen t䴩g. Gegrndet wurde die Bank of Beijing 1996. Das Unternehmen wird mehrheitlich staatlich kontrolliert. Bedeutende Anteile am Unternehmen halten die Stadtverwaltung von  Bank of Beijing ist ein chinesisches Unternehmen mit Firmensitz in Peking. Das Unternehmen ist im Bankwesen t䴩g. Gegrndet wurde die Bank of Beijing 1996. Das Unternehmen wird mehrheitlich staatlich kontrolliert. Bedeutende Anteile am Unternehmen halten die Stadtverwaltung von Peking sowie das niederl䮤ische Kreditinstitut ING Groep. Das Unternehmen ist an der B_xDE8B__xDCE5_ Shanghai notiert.,
257,258,HDFC Bank,India,11-Apr,1103,57.4,Financials,Regional Banks,"HDFC Bank ist eine der ersten indischen privaten Banken der Neuzeit. Gegrndet wurde sie im August 1994, nachdem die Reserve Bank of India den Bankensektor fr Privatanbieter freigab. Das Unternehmen ist eine Tochtergesellschaft der 1977 gegrndeten Housing Development Finance Corporation.",
258,259,KBC Group,Belgium,11-Mar,2903,27-Jun,Financials,Major Banks,KBC  Kreativ und innovativ seit 1753 Das in L_xDE8B__xDCA1_ch ans䳳ige Unternehmen KBC Fashion GmbH & Co. KG ist ein deutsches Textilunternehmen mit 90 Mitarbeitern und einer 270-j䨲igen Tradition. Es geh_xDE8B__xDD20_zu den bedeutendsten Stoffdruckunternehmen Europas und ,
259,260,Deere & Company,United States,26-Jul,563,34.8,Consumer Staples,,"https://www.deere.de/de/index.htmlWillkommen auf der offiziellen Webseite von John Deere Deutschland. Hier finden Sie mehr Informationen zu John Deere Produkten, Ersatzteile, Service & Support und Kaufen & Finanzieren.",
260,261,Diageo,United Kingdom,15-Feb,374,71.2,Consumer Staples,Beverages,Diageo plc ist ein weltweit t䴩ger Hersteller alkoholischer Getr䮫e.,
261,262,Central Japan Railway,Japan,16-Jan,51,32.6,Industrials,Railroads,Das japanische UnternehmenCentral Japan RailwayCompany ist eine der sechs privatisierten Eisenbahngesellschaften der Japan Railway Gruppe und ist fr...,
262,263,Liberty Global,United Kingdom,20,687,31.2,Consumer Discretionary,Broadcasting & Cable,"Liberty Global plc. mit Sitz in London ist ein internationaler Medienkonzern und einer der gr_xDE3F__xDD25_n Breitbandanbieter weltweit. Die Aktien des Unternehmens werden in Form von zwei Tracking Stocks an der NASDAQ gehandelt, wobei die LiNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtLiberty Global plc. mit Sitz in London ist ein internationaler Medienkonzern und einer der gr_xDE3F__xDD25_n Breitbandanbieter weltweit. Die Aktien des Unternehmens werden in Form von zwei Tracking Stocks an der NASDAQ gehandelt, wobei die Liberty Global Group das europ䩳che Gesch䦴 und die Liberty Latin America and Caribbean Group das Gesch䦴 in Lateinamerika und der Karibik enth䬴.",
263,264,Indian Oil,India,54.1,373,30,Energy,Oil & Gas Operations,"Indian Oil Corporation, Ltd. ist ein indisches Mineral_xDE73__xDD6E_ternehmen mit Firmensitz in Neu-Delhi. Das heute von Ranbir Singh Butola gefhrte Unternehmen entstand 1964 durch die Fusion der Unternehmen Indian Oil Company Ltd. sowie InNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtIndian Oil Corporation, Ltd. ist ein indisches Mineral_xDE73__xDD6E_ternehmen mit Firmensitz in Neu-Delhi. Das heute von Ranbir Singh Butola gefhrte Unternehmen entstand 1964 durch die Fusion der Unternehmen Indian Oil Company Ltd. sowie Indian Refineries Ltd. und wird mehrheitlich von der indischen Regierung kontrolliert.",
264,265,Shinhan Financial Group,South Korea,14-Feb,3276,20,Financials,Investment Services,"Die Shinhan Financial Group ist ein sdkoreanisches Unternehmen mit Firmensitz in Seoul. Das Unternehmen z䨬t zu den gr_xDE3F__xDD25_n zehn des KOSPI-Index. Die Shinhan Financial Group bietet Finanzdienstleistungen verschiedener Art fr seiNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie Shinhan Financial Group ist ein sdkoreanisches Unternehmen mit Firmensitz in Seoul. Das Unternehmen z䨬t zu den gr_xDE3F__xDD25_n zehn des KOSPI-Index. Die Shinhan Financial Group bietet Finanzdienstleistungen verschiedener Art fr seine Kunden an. Die Shinhan Financial Group wurde 1982 gegrndet. Zu ihr geh_xDE8A__xDD6E_ die Shinhan Bank und die Chohung Bank, die 2006 fusionierten. Des Weiteren ist die Jeju Bank ein Teil der Shinhan Financial Group.",
265,266,Canon,Japan,31-Mar,441,41.6,Industrials,Business Products & Supplies,"https://www.canon.deCanon Deutschland ist ein fhrender Anbieter von Digitalkameras, digitalen Spiegelreflexkameras, Tintenstrahldruckern und professionellen Druckern fr Unternehmen und Privatanwender.",
266,267,Synchrony Financial,United States,15-Jan,902,26-Sep,Financials,,ProfilSynchrony Financial...Synchrony Financialist ein US-amerikanisches Finanzdienstleistungsunternehmen. Synchrony spezialisiert sich dabei besonders auf...,
267,268,Saint-Gobain,France,43.2,462,28,Materials,Construction Materials,Die Compagnie de Saint-Gobain ist ein b_xDE8B__xDCE5_nnotierter franz_xDE8E__xDE73_cher Industriekonzern. Die unter seinem Dach vereinten Unternehmen besch䦴igten 2018 mehr als 179.000 Mitarbeiter bei einem Jahresumsatz von rund 41 Milliarden Euro.,
268,269,United Continental Holdings,United States,36.6,454,22-Mar,Industrials,Airline,"Die United Airlines Holdings, Inc. entstand 2010 als Dachgesellschaft im Rahmen des Fusionsprozesses der beiden US-amerikanischen Fluggesellschaften United Airlines und Continental Airlines sowie mehrerer Tochterunternehmen und ist seither die Muttergesellschaft der aus der Fusion hervorgegangenen United Airlines.",
269,270,Carnival,United States,16-May,387,43.9,Consumer Discretionary,Hotels & Motels,Die britisch-US-amerikanische Carnival Corporation & plc ist das gr_xDE3F__xDD25_ Kreuzfahrtunternehmen der Welt.,
270,271,HP,United States,48.7,,29-Apr,Information Technology,,"Informieren Sie sich berHPDrucker, Laptops, Desktopsysteme und mehr  auf der offiziellenHP Website.",
271,272,Accenture,Ireland,35.7,,77.8,Information Technology,Computer Services,"https://www.accenture.com/de-deAccenture nutzt die Kraft der Ver䮤erung um eine 360-Wertsch_xDE82__xDDB5_ng zu schaffen. Fr unsere Kunden, Mitarbeiter, Partner und die Gesellschaft. Mehr lesen.",
272,273,Country Garden Holdings,Hong Kong,23,851,20-Mar,Financials,Real Estate,Country Garden ist eine Immobilienentwicklungsgesellschaft mit Sitz in Foshan in der Provinz Guangdong im Besitz der Familie von Yang Guoqiang,
273,274,State Street,United States,10-Jun,2427,30-Jan,Financials,Investment Services,State Street Corporation ist ein US-amerikanisches Unternehmen mit Firmensitz in Boston. Das Unternehmen ist im Aktienindex S&P 500 gelistet. State Street ist als Finanzdienstleistungsunternehmen und Depotbank t䴩g und wurde 1792 gegrndet.,
274,275,Volvo Group,Sweden,35.3,447,28-Jun,Industrials,Heavy Equipment,"Willkommen bei Volvo Cars Deutschland. Entdecken und gestalten Sie Ihr Hybrid- oder Elektrofahrzeug von Volvo - als SUV, Kombi oder Limousine.",
275,276,Inditex,Spain,25-Jul,,112.1,Consumer Discretionary,Apparel/Footwear Retail,"Inditex ist eines der gr_xDE3F__xDD25_n Textilunternehmen der Welt mit Sitz in Arteixo, einem Vorort von A Coru񡠩n Galicien.",
276,277,Seven & I Holdings,Japan,53.9,492,37,Consumer Staples,Food Retail,"K.K. Seven & I Holdings ist ein japanisches Unternehmen mit Firmensitz in Chiyoda, Tokio. Das Unternehmen ist im japanischen Aktienindex Nikkei 225 gelistet. Das japanische Einzelhandelsunternehmen 7-Eleven ist unter anderem ein Tochterunternehmen von Seven & I Holdings.",
277,278,Mitsubishi Electric,Japan,39.1,341,29-Sep,Industrials,Electrical Equipment,"https://de.mitsubishielectric.comMitsubishi Electric ist eines der weltweit fhrenden Unternehmen bei Herstellung und Vertrieb von elektrischen und elektronischen Produkten und Systemen fr die verschiedensten Bereiche und Anwendungen. Wir nutzen unsere Technologien, um unseren Beitrag zur Gesellschaft und zum t䧬ichen Leben auf der ganzen Welt zu leisten. Kurzer ܢerblick.",
278,279,Bridgestone,Japan,30-Jul,319,31-Jul,Consumer Discretionary,Auto & Truck Parts,https://www.bridgestone.deBridgestone Europe ist eine Tochtergesellschaft der Bridgestone Corporation mit Sitz in Tokio. Wir sind ein weltweit fhrender Anbieter von nachhaltiger Mobilit䴠und innovativen L_xDE8F__xDD6E_gen.,
279,280,PG&E,United States,17-Jul,709,34,Utilities,Electric Utilities,"ie Pacific Gas and Electric Company ist ein US-amerikanischer Energieversorger mit b_xDE8B__xDCE5_nnotierten Aktien. Das Unternehmen hat seinen Hauptsitz im Pacific Gas & Electric Building in San Francisco, Kalifornien",
280,281,Cardinal Health,United States,127.2,35,26,Health Care,Pharmaceuticals,"https://www.cardinalhealth.deCardinal Health vereint hochwertige Produkte sowie werteorientierte Gesch䦴s- und Logistikl_xDE8F__xDD6E_gen und hilft damit denjenigen, die vor der Aufgabe stehen, in dem sich ver䮤ernden Umfeld der Gesundheitspflege zu agieren. Mit unserer Erfahrung und unserem Know-How fr das Gesundheitswesen liefern wir L_xDE8F__xDD6E_gen, die die Kosten der Gesundheitspflege senken und ",
281,282,Telstra,Australia,18-Jun,302,40.7,Telecommunication Services,Telecommunications services,"Die Telstra Corporation ist ein international operierendes Telekommunikationsunternehmen mit Sitz in Melbourne, Victoria, Australien. Das Unternehmen ist im All Ordinaries an der Australian Securities Exchange und im NZX 50 Index an dNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie Telstra Corporation ist ein international operierendes Telekommunikationsunternehmen mit Sitz in Melbourne, Victoria, Australien. Das Unternehmen ist im All Ordinaries an der Australian Securities Exchange und im NZX 50 Index an der New Zealand Exchange gelistet.",
282,283,Dominion Resources,United States,11-Apr,716,48.7,Utilities,Electric Utilities,"Dominion Energy, Inc. (ehemalsDominion Resources, Inc.) ist ein vollintegrierter Gas- und Elektrizit䴳konzern in den USA, der durch mehr als 13...",
283,284,Nomura,Japan,14-Aug,3691,21-Feb,Financials,,Nomura Holdings K.K. ist ein japanisches Unternehmen mit Firmensitz in Tokio. Das Unternehmen ist im Aktienindex Nikkei 225 gelistet. Nomura wurde 1925 in Osaka gegrndet. Gegenw䲴ig wird das Unternehmen von Koji NaNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtNomura Holdings K.K. ist ein japanisches Unternehmen mit Firmensitz in Tokio. Das Unternehmen ist im Aktienindex Nikkei 225 gelistet. Nomura wurde 1925 in Osaka gegrndet. Gegenw䲴ig wird das Unternehmen von Koji Nagai geleitet. Rund 28.700 Mitarbeiter sind bei Nomura besch䦴igt. Nomura ist als Finanzunternehmen in verschiedenen Dienstleistungen des Finanzmarktes t䴩g.,
284,285,Raytheon,United States,24-Jan,,44.9,Industrials,Aerospace & Defense,"Raytheon Company war ein US-amerikanischer Rstungs- und Elektronikkonzern mit Sitz in Waltham. Das Unternehmen fusionierte 1997 mit Hughes Aircraft, das nach seinem Grnder Howard Hughes benannt war. 2020 ging es in Raytheon Technologies auf.",
285,286,Henkel,Germany,20-Jul,30,52,Consumer Staples,Household/Personal Care,"https://www.henkel.de01.06.2021 Henkel schafft mit dem Henkel Adhesives Forum ein neues Wissenszentrum fr die Verpackungs- und Konsumgterindustrie. Henkel hat mit seinem virtuellen Wissenszentrum eine neue Online-Ressource geschaffen, die Informationen ber zentrale Themen der Verpackungs- und Konsumgterindustrie bereitstellt und den diesbezglichen Austausch erm_xDE5E__xDF29_cht.",
286,287,Marathon Petroleum,United States,56,444,26-Apr,Energy,Oil & Gas Operations,05.06.2020 MARATHON PETROLEUM AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Marathon Petroleum Corporation | A1JEXK | MPC | US56585A1025,
287,288,Merck,Germany,16-Jun,411,49.1,Health Care,Pharmaceuticals,"https://www.merckmillipore.com/DEMerck Millipore bietet Chemikalien fr Anwendungen im Labor und in der Industrie. Biowissenschaften, Biopharmazeutika, Nahrungsmittel, Kosmetik, LCDs, Pharmazeutika, ",
288,289,Peugeot,France,59.8,482,16-Sep,Consumer Discretionary,Auto & Truck Manufacturers,https://www.peugeot.dePEUGEOT pr䳥ntiert ein digitales Rundum-sorglos-Paket: ܢer den neuen Financing Store der L_xDE9E__xDD6E_marke k_xDE7A__xDFA5_n Verbraucherinnen und Verbraucher ab sofort von der Suche ber die Finanzierung bis hin zur Lieferung ihres Neu- oder Vorfhrwagens den gesamten Bestell- ,
289,290,Tata Motors,India,41.2,395,24-Sep,Consumer Discretionary,Auto & Truck Manufacturers,"Tata Motors ist der gr_xDE3F__xDD25_ Automobilhersteller in Indien und geh_xDE8B__xDD20_mehrheitlich zur Tata Group. Das Unternehmen ist im Finanzindex BSE Sensex gelistet. Tata Motors verkaufte im Gesch䦴sjahr 2008/09, das fr das Unternehmen von April bis M䲺 l䵦t, 29Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtTata Motors ist der gr_xDE3F__xDD25_ Automobilhersteller in Indien und geh_xDE8B__xDD20_mehrheitlich zur Tata Group. Das Unternehmen ist im Finanzindex BSE Sensex gelistet. Tata Motors verkaufte im Gesch䦴sjahr 2008/09, das fr das Unternehmen von April bis M䲺 l䵦t, 291.993 Nutzfahrzeuge und 214.428 Personenkraftwagen. Die zum Unternehmen geh_xDE8A__xDD6E_de Tata Motorfinance finanzierte in dieser Zeit 153.007 Fahrzeuge. Am 31. M䲺 2009 besch䦴igte das Unternehmen 23.638 Mitarbeiter zuzglich mehr als 7.000 in Tochterunternehmen. Fabriken des Unternehmens gibt es in Jamshedpur, Pune, Lakhnau, Pantnagar und Dharwad.",
290,291,Archer Daniels Midland,United States,62.4,398,25-Jun,Consumer Staples,Food Processing,"Archer Daniels Midland Company ist ein amerikanischer Industriekonzern im Agribusiness mit Sitz in Chicago, Illinois. Der Konzern ist mit mehr als 270 Produktionsst䴴en weltweit am Markt vertreten. In ihnen werden Getreide und ֬saaten zu verscNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtArcher Daniels Midland Company ist ein amerikanischer Industriekonzern im Agribusiness mit Sitz in Chicago, Illinois. Der Konzern ist mit mehr als 270 Produktionsst䴴en weltweit am Markt vertreten. In ihnen werden Getreide und ֬saaten zu verschiedenen Produkten verarbeitet, die in Lebensmitteln, Getr䮫en, Industrieprodukten und Futtermitteln eingesetzt werden.",
291,292,CNP Assurances,France,30-Jul,4281,13-Aug,Financials,Diversified Insurance,CNP Assurances ist ein franz_xDE8E__xDE73_ches Versicherungsunternehmen mit Sitz in Paris. Die Firmenabkrzung CNP steht fr Caisse Nationale de Pr鶯yance. Das Unternehmen wird in der Liste Fortune Global 500 gefhrt.,
292,293,Natixis,France,14-Jun,5567,19-Jan,Financials,Major Banks,"Natixis Portfolio Clarity. Spezialisierte Berater arbeiten mit Anlagespezialisten zusammen, die einen tieferen Einblick in die Strukturierung intelligenterer Portfolios suchen. Dabei kommen ausgefeilte Analysetools zum Einsatz, um Risiko- und Ertragsquellen zu identifizieren und zu quantifizieren. Natixis Investment Institute.",
293,294,China Huarong Asset Management,China,13-May,2032,16-Jun,Financials,,"Aus dem Englischen bersetzt-China Huarong Asset Management Co., Ltd., nur bekannt als China Huarong, ist eine mehrheitlich staatliche staatliche Verm_xDE5E__xDD6E_sverwaltungsgesellschaft in China mit Schwerpunkt auf Distressed Debt Management.",
294,295,Imperial Tobacco Group,United Kingdom,39.2,425,46.5,Consumer Staples,Tobacco,"Die Imperial Brands plc. (bis 2016: Imperial Tobacco Group PLC) ist fnftgr_xDE3F__xDD25_r Anbieter im internationalen Tabakmarkt nach China National Tobacco, Philip Morris, British American Tobacco und Japan Tobacco. Sitz der Gesellschaft ist Bristol, Groߢritannien. Das Unternehmen  Die Imperial Brands plc. (bis 2016: Imperial Tobacco Group PLC) ist fnftgr_xDE3F__xDD25_r Anbieter im internationalen Tabakmarkt nach China National Tobacco, Philip Morris, British American Tobacco und Japan Tobacco. Sitz der Gesellschaft ist Bristol, Groߢritannien. Das Unternehmen besch䦴igt ber 36.000 Mitarbeiter. Im Februar 2016 nannte sich das Unternehmen in Imperial Brands um. Am 1. Juli 2020 tritt Stefan Bomhard die Nachfolge von Alison Cooper als neuer Unternehmenschef (CEO) an.",
295,296,BCE,Canada,16-Apr,374,40.5,Telecommunication Services,Telecommunications services,"Die IG BCE und die Klimaschutzbewegung Fridays for Future haben einen konstruktiven Dialog ber Mittel und Wege zur Intensivierung des Klimaschutzes aufgenommen. Fr die IG BCE ist es wichtig, die klimawirksame Transformation aller Sektoren schnell in Angriff zu nehmen. Darin liegt die groߥ Chance fr eine Zukunft mit guter Industriearbeit und fr einen sprbaren Klimaschutz.",
296,297,Northrop Grumman,United States,24-May,28,41.7,Industrials,Aerospace & Defense,"Die Northrop Grumman Corporation ist ein US-amerikanischer Hersteller von haupts䣨lich Rstungstechnik fr die Schiff-, Luft- und Raumfahrt sowie Informationstechnologie mit Hauptsitz in West Falls Church. Ein weiterer Bereich ist die Entwicklung von Sortiertechnik fr Briefe.",
297,298,LyondellBasell Industries,United Kingdom,29.2,,35.8,Materials,Diversified Chemicals,"Die Lyondellbasell Industries (Eigenschreibweise LyondellBasell) ist das weltweit achtgr_xDE3F__xDD25_ und europaweit drittgr_xDE3F__xDD25_ Chemieunternehmen. Es ist der gr_xDE3F__xDD25_ Produzent von Polyolefinen (Weltmarktfhrer Polypropylen, fhrender Anbieter von Polyethylen) und Katalysatoren, sowie  Die Lyondellbasell Industries (Eigenschreibweise LyondellBasell) ist das weltweit achtgr_xDE3F__xDD25_ und europaweit drittgr_xDE3F__xDD25_ Chemieunternehmen. Es ist der gr_xDE3F__xDD25_ Produzent von Polyolefinen (Weltmarktfhrer Polypropylen, fhrender Anbieter von Polyethylen) und Katalysatoren, sowie eines der weltweit fhrenden Unternehmen bei der Entwicklung und der Lizenzierung von Polypropylen- und Polyethylenprozessen. Das Unternehmen mit Sitz in Rotterdam und weiteren Verwaltungszentralen in Houston und London betr... +",
298,299,Posco,South Korea,45.8,66,19-Feb,Materials,Iron & Steel,POSCO ist der viertgr_xDE3F__xDD25_ Erzeuger von Stahl in der Welt mit einer Jahresproduktion von 42 Mio. Tonnen mit Sitz in Pohang. Das Unternehmen ist im KOSPI an der Korea Exchange gelistet.,
299,300,Telecom Italia,Italy,21,743,18-Jan,Telecommunication Services,Telecommunications services,Die TIM S.p.A. mit Rechtssitz in Mailand und Verwaltungssitz in Rom ist ein b_xDE8B__xDCE5_nnotierter italienischer Telekommunikationsanbieter.,
300,301,Oversea-Chinese Banking,Singapore,8-Jun,2837,28-Aug,Financials,Regional Banks,Oversea-Chinese Banking Corporation ist ein Kreditinstitut mit Firmensitz in Singapur. OCBC bietet Finanzdienstleistungen verschiedener Art fr seine Kunden an. Das Unternehmen wurde 1932 gegrndet. Die Bank ist im Straits Times Index an der Singapore Exchange gelistet.,
301,302,KB Financial Group,South Korea,13-May,312,17-Sep,Financials,Investment Services,Kookmin Bank ist nach Marktkapitalisierung und Wert die gr_xDE3F__xDD25_ sdkoreanische Bank mit Firmensitz in Seoul. Die Kookmin Bank wurde 1963 gegrndet. Das Unternehmen ist im KOSPI an der Korea Exchange gelistet.,
302,303,Charles Schwab,United States,7-Jun,2234,53.3,Financials,Investment Services,"Die Charles Schwab Corporation bietet ber ihre operativen Tochtergesellschaften ein umfassendes Angebot an Brokerage-, Bank- und Finanzberatungsdienstleistungen. Seine Broker-Dealer ...",
303,304,Orange,France,45.3,1015,40.4,Financials,,"Das Innovativste an 5G ist, was wir damit machen werden - Schlagzeilen - Mobile World Congress - Suchen Sie einen Job bei Orange? - Orange auf der ganzen Welt - Entdecken Sie unsere ...",
304,305,Surgutneftegas,Russia,13-Sep,609,18-May,Energy,Oil & Gas Operations,11 Zeilen Hier erhalten Sie eine ܢersicht ber die Dividendenzahlung und Dividendenrendite von ,
