Name	Street	Zipcode	City	Country	Phonenumber	Website	Email	Segment	Subsegment	Snippet
FORMRISE GmbH	Werkstrasse 13	84513	Töging	Germany	+49 8631 394420	www.formrise.com	info@formrise.com	Industrial and Services	Service Bureau	"formrise.com
FORMRISE versteht sich als „Quality Leader”. Dies beginnt bereits mit dem Design der Bauteile und endet mit der Qualitätssicherung und der fristgerechten Lieferung. Wir beraten Sie bei der Auswahl der Fertigungstechnologie über das fertigungsgerechte Design und übernehmen auf Wunsch Ihre Produktion. Aufbauend auf einem Vertrauensverhältnis und unserem Werteverständnis, bei dem Sie im ..."
FWL Schubert & Salzer Feinguß Lobenstein GmbH	Poststrasse 31	7356	Lobenstein	Germany	+49 366 51840	www.feinguss-lobenstein.de	s.sprengler-FWL@schubert-salzer.com	Industrial and Services	Service Bureau	"https://www.feinguss-lobenstein.de
Wir halten sämtliche Produktions- und Prüfungsmöglichkeiten am Standort in Bad Lobenstein bereit. Nutzen Sie unsere heimische Fertigung als aktiven Bestandteil Ihres Risikomanagements! Wir sind für Sie da! Kontaktieren Sie uns! Telefon: +49 3 66 51 84-0. E-Mail: fwl [at]schubert-salzer.com."
Hein + Gernhard GmbH	Hauptstrasse 20-24	61440	Oberursel	Germany	+49 6172 96150	www.hein-gernhard.de	info@hein-gernhard.de	Industrial and Services	CNC Machining	"https://hein-gernhard.com/kontakt
Hein + Gernhard GmbH. Industriestraße 2 61440 Oberursel Tel.: +49 (0)6172 9615-0 E-Mail: info@hein-gernhard.de. Öffnungszeiten: Mo - Do 08:00 - 16:00 Uhr. Fr 08:00 - 14:00 Uhr. Sa + So geschlossen. Suche. VIDEO TUTORIALS . PREISTRÄGER 2019 ZERTIFIZIERUNG . ANGEBOT ONLINE ..."
ISOVOLTA GATEX GmbH	Industriestrasse 1	92442	Wackersdorf	Germany	+49 9431 6350	www.isovolta.de	info@isovolta.de	Industrial and Services	Service Bureau	"https://www.isovolta.com
Die ISOVOLTA Group ist als international führender Hersteller von Elektroisoliermaterialien, technischen Laminaten und Verbundwerkstoffen weltweit präsent. 15 Produktions- und Vertriebsstandorte in 11 Ländern auf drei Kontinenten setzen auf die langjährigen Erfahrungen in der Synthese und Umwandlung von Rohstoffen zu hoch zuverlässigen, intelligenten Materialien. Material- und Technologie ..."
KREATIZE GmbH	Rittweg 43	72070	Tübingen	Germany	+49 7071 1431070	www.kreatize.com	anfrage@kreatize.com	Industrial and Services	Service Bureau	NaN
Michael Sander Kunststofftechnik GmbH	Pforzheimer Strasse 29	1189	Dresden	Germany	+49 351 3401185	www.sander-kunststofftechnik.de	info@sander-kunststofftechnik.de	Industrial and Services	Service Bureau	"www.sander-kunststofftechnik.de
Entwicklung und Produktion. von Prototypen und Kleinserien. Sie benötigen Einzelstücke oder Kleinserien? Sie suchen Konstruktionsmuster oder Anschauungsstücke? Wir fertigen dies nach Ihren Vorgaben ab Stückzahl 1. Schnell, flexibel, hochwertig, termintreu. Sie haben eine Baugruppe, die Sie kostengünstiger in Kleinserie herstellen wollen?"
Kessler Plastics GmbH	Auwiese 10	57223	Kreuztal	Germany	+49 2732 59140	www.kessler-plastics.de	wlw@kessler-plastics.de	Industrial and Services	Service Bureau	"https://www.nessler-plastics.de
GFK-Verarbeitung. Glasfaserverstärkter Kunststoff kommt insbesondere in der chemischen Industrie und beim Anlagenbau zum Einsatz. Die Herstellung von ebenso sicheren wie wirtschaftlichen GFK-Rohrsystemen und Behältern inklusive passender Fittings ist unser Tagesgeschäft. Unsere GFK-Maßanfertigungen richten sich nach Ihren Anforderungen.
Geschätzte Lesezeit: 2 min"
1. ISO Giesstechnik Maik Straile e.K.	Daimlerstrasse 21	75233	Tiefenbronn	Germany	+49 7234 9490931	www.giesserei-pforzheim.de	anfragen@iso-giesstechnik.de	Industrial and Services	Service Bureau	"https://giesserei-pforzheim.de
Wir bieten Ihnen einen Full-Service über Beratung, Modellbau, Formenbau, Gussteil bis hin zur Endbearbeitung nach Ihren Wünschen. Durch unsere jahrelange Erfahrung in der Herstellung von Feingussteilen für die Musikindustrie, setzen wir gemeinsam mit Ihnen, Ihre Ideen und Vorstellungen in die Realität um. Weiterlesen: Technische Feingussteile."
digitectum 3d-druckwerkstatt	Am Hasenpfad 26	65451	Kelsterbach	Germany	49 6107 4078919	www.digitectum.de	info@digitectum.de	Industrial and Services	Service Bureau	"www.digitectum.de
01.12.2017 · digitectum, dein 3d-druckservice im rhein-main-gebiet. Wir ziehen um. Ab 01.12.2017. In sechs Jahren in der Landeshauptstadt Wiesbaden konnten wir ca. 2.000 Projekte für Großkunden, Kleinunternehmen, Modellbauer, Familien, Rentner und Studenten erfolgreich erstellen. Jetzt zieht es uns mit einem neuen Angebot vor die Tore von Frankfurt."
4D Concepts GmbH	Frankfurter Strasse 74	64521	Groß-Gerau	Germany	+49 6152 92310	www.4dconcepts.de	mail@4dconcepts.de	Industrial and Services	Service Bureau	"https://www.4dconcepts.de
04.08.2020 · 3D-Druck für Prototypen und Kleinserie, Exponate. Herzlich Willkommen bei 4D Concepts, Ihrem Partner für Dienstleistungen im Modell- und Prototypenbau, Exponatebau sowie dem Systemvertrieb innovativer 3D-Druckersysteme des Herstellers 3D Systems. Als erfahrene Prototypenbauer kombinieren wir 3D-Druck mit konventionellen Verfahren der ..."
ALBTEC Prototypen GmbH	Walkenmühleweg 59	72379	Hechlingen	Germany	+49 7471 98980	www.albtec.de	info@albtec.de	Industrial and Services	Service Bureau	"https://www.albtec.de
Die Firma Albtec Prototypen GmbH ist ein moderner Prototypenhersteller aus Baden Württemberg. Unser Musterbau ist mit der neuesten Technologie ausgestattet und erstellt aus den Urmodellen des weiteren Silikonformen für den Vakuumguss. Mit Hilfe des Vakuumgiessen können so funktionsfähige Prototypen, Vorserien und Kleinserien hergestellt werden."
Alumina Systems GmbH	Bahnhofstraße 43	96257	Redwitz	Germany	+49 9574 65432250	www.alumina.systems	info@alumina.systems	Industrial and Services	Engineering & Product Design	"https://alumina.systems
Dies ist die offizielle Homepage der Alumina Systems GmbH in Redwitz/Rodach. Wir produzieren Keramik-Metall-Verbundbauteile, Aluminiumoxidbauteile im 3-D-Druck, Vakuum-Stromdurchführungen und Viewports, Stromdurchführungen, Vakuumisolatoren, Vakuumschaltrohre und individuelle Lösungen für die Mess- und Hochdrucktechnik."
AMR - Additive Manufacturing & Research UG(haftungsbeschränkt)	Bismarckstrasse 142	47057	Duisburg	Germany	+49 203 3064990	www.amresearch.de	info@amresearch.de	Industrial and Services	Service Bureau	"https://www.amresearch.de
Laser-Sintern, Entwicklung und Produktion. Wir bieten Dienstleistungen rund um das Thema Additive Fertigung (3D-Druck) aus Metall.. Von Materialqualifizierung und Systementwicklung bis hin zur Serienproduktion, die Additiv Manufacturing & Research begleitet Sie von der Konstruktionsphase über den Fertigungsprozess bis hin zum fertigen Endprodukt."
iGo3D GmbH	Am Brabrinke 14	30519	Hannover	Germany	+49 511 89 88 87 12	www.igo3d.com	info@igo3d.com	Industrial and Services	Service Bureau	"https://www.igo3d.com
IGO3D ist sich seiner Verantwortung bewusst, innovative Produkte anzubieten. Neben einer umfassenden Beratung vor dem Kauf stehen Ihnen unsere 3D-Druck Experten stets zur Seite, damit Sie Ihre Druckergebnisse kontinuierlich optimieren können. Diese Art des technischen Supports ist in unseren Augen eine unverzichtbare Zusatzleistung, um Anfängern den Zugang zu 3D …"
CNC-Drehcenter Hase	Wilhelm-Loh-Strasse 17	35578	Wetzlar	Germany	+49 6441 4470970	www.cnc-drehtechnik-hase.de	cnc-drehcenter@t-online.de	Industrial and Services	CNC Machining	NaN
bm.engineering GmbH	Gewerbepark Lindach B1	84489	Burghausen	Germany	+43 676 9548019	www.bm-engineering.eu	office@gummiimverbund.com	Industrial and Services	Service Bureau	"https://www.bm-engineering.eu
bm.engineering ist ein Ingenieurbüro in Oberösterreich. Unser Fokus sind Arbeitsplatzeinrichtungen und innovative 3D-Druckverfahren."
MTP Rapid Prototyping UG (haftungsbeschränkt)	Am Gewend 1	85132	Schernfeld	Germany	+49 160 238 702 5	www.mtp-rp.com	kontakt@mtp-rp.com	Industrial and Services	Service Bureau	"https://www.mtp-rp.com
MTP Rapid Prototyping. Kontakt@mtp-rp.com. +49 (0) 160 238 702 5. MTP Rapid Prototyping. Am Gewend 1. 85132 Schernfeld."
Münsterländer Kunststoff Manufaktur GmbH	Benzstraße 22a	48619	Heek	Germany	+49 25 68 67501 00	www.mkmanufaktur.de	info@mkmanufaktur.de	Industrial and Services	Service Bureau	"https://www.mkmanufaktur.de
Münsterlander Kunststoff Manufaktur ist der Spezialist für die Kunststoff-Zerspanung und die Additive Fertigung. Für Kunden aus Maschinen- und Anlagenbau, Medizin- und Fördertechnik und Lebensmittelproduktion planen, konstruieren, fertigen und montieren …"
ArchiKonstrukt	Einsteinstraße 6	74626	Bretzfeld	Germany	+49 0152 26621624	www.3d-architekturmodelle.de	info@3d-architekturmodelle.de	Industrial and Services	Service Bureau	NaN
PARARE GmbH	Maybachstraße 7	72636	Frickenhausen	Germany	+49 702 2209810	www.parare.de	info@parare.de	Industrial and Services	Service Bureau	"https://parare.de
EINEN ANRUF ENTFERNT - 07022 209 810. Selektives Laserschmelzen. Metall und Kunststoff 3D-Druck. Bei PARARE fließt jahrelange Erfahrung und eine Vielzahl erfolgreicher Projekte in unterschiedlichsten Branchen in das selektive Laserschmelzen von Metall- (SLM) und das lasersintern von Kunststoffbauteilen (SLS) ein."
betabots Hölldorfer & Stober GbR	Leutershäuser Straße 17	69198	Schriesheim	Germany	+49 170 4941883	www.betabots.net	info@betabots.net	Industrial and Services	Service Bureau	"https://betabots.net
Dieser Shop verwendet Cookies - sowohl aus technischen Gründen, als auch zur Verbesserung Ihres Einkaufserlebnisses. Wenn Sie den Shop weiternutzen, stimmen Sie …"
Proto Labs GmbH	Kapellenstrasse 10	85622	Feldkirchen	Germany	49 89 90500222 	www.protolabs.de	customerservice@protolabs.de	Industrial and Services	Service Bureau	"https://www.protolabs.de
Prototypen und Produktionsteile via 3D Druck, CNC-Bearbeitung und Spritzguss. Online-Konfigurator mit Preisermittlung für alle Fertigungsverfahren in 1 bis 15 Tagen in 8 Ländern. Ab 1 Stück, Onlinepreis via CAD Daten. Kostenlose und unverbindliche Machbarkeit- und Designanalyse Ihrer Produktente."
PTF Pfüller GmbH & Co.KG	Auer Strasse 7	9366	Stollberg	Germany	+49 37296 927230	www.ptf-group.com	info@ptf-group.com	Industrial and Services	CNC Machining	"https://www.ptf-group.com
Die PTF Group vereint mehrere Spezialunternehmen für die CNC-Bearbeitung unter einem Dach.Als global tätiger Systemanbieter bietet die PTF Group ein umfassendes Leistungsspektrum, das von der Produktentwicklung über die Fertigung bis hin zu ergänzenden Dienstleistungen reicht.
Geschätzte Lesezeit: 40 Sekunden"
Heinkel Engineering GmbH & Co. KG	Hein-Saß-Weg 30	21129	Hamburg	Germany	+49 40 4130 759 0	www.bionic-studio.com	ts@bionic-studio.com	Industrial and Services	Engineering & Product Design	"https://www.bionic-studio.com
Boutique Soldes Billabong:Pantalons De Snow,Vestes De Snow,Bas De Bikini,Shorts,Sweats,T-Shirts,Casquettes & Bonnets...Réductions Jusqu'à 50%"
Rohde & Schwarz GmbH & Co KG	Kaikenrieder Strasse 27	94244	Teisnach	Germany	+49 9923 8570	www.teisnach.rohde-schwarz.com	vertrieb.teisnach@rohde-schwarz.com	Industrial and Services	Electrical	"https://www.rohde-schwarz.com/de/about-germany/werke/teisnach/startsei...
Ihr vielfach ausgezeichneter Mechatronik-Partner Rohde & Schwarz Teisnach besticht durch ein Spektrum von Fertigungsleistungen, wie es in dieser Breite am Markt selten angeboten wird. Mit uns als Partner ist das Außergewöhnliche nicht nur denkbar, sondern auch machbar. Und erst, wenn unsere Kunden zufrieden sind, sind wir es auch."
Salzland Druck GmbH & Co KG	Löbnitzer Weg 10	39418	Staßfurt	Germany	+49 3925 9620	www.salzland-druck.com	info@salzland-druck.de	Industrial and Services	Service Bureau	"https://www.salzland-druck.de
SALZLAND DRUCK GmbH & Co. KG Löbnitzer Weg 10 I 39418 Staßfurt Telefon: 03925-962-0 E-Mail: info@salzland-druck.de ..."
CADSPEED GmbH	Im Nordfeld 13	29336	Nienhagen	Germany	+49 5144 9872 55	www.cad-speed.de	info@cad-speed.de	Healthcare	Dental	"https://www.cadspeed.de
die Vorteile unseres Fräszentrum auf einen Blick: Keine Systembindung und Lizenzgebühren. Alle Materialien - keine Einschränkung. Keine Reparatur- und Wartungskosten. Ständige Workflow-Optimierung ohne Kapitaleinsatz. Kein Ausfallrisiko und keine Personalkosten. Produktion und Lieferung in 24 Stunden. 5 Jahre Garantie und 100% Kulanz."
CIKONI GmbH	Nobelstrasse 15	70569	Stuttgart	Germany	+49 711 26 37 56 00	www.cikoni.com	info@cikoni.com	Industrial and Services	Engineering & Product Design	"https://cikoni.com/de/home
CIKONI – das bedeutet ganzheitliche spezialisierte Ingenieurdienstleistungen entlang der gesamten Prozesskette und schließt die Entwicklung von anwendungsgerechten Fertigungsverfahren und Sondermaschinen mit ein, zum Beispiel für die kostengünstige, umformende Preform-Herstellung in mittleren Stückzahlen oder das 3D-Faserwickeln.
Geschätzte Lesezeit: 1 min"
CIPRES Technology Systems	Pflanzstatt 17	96482	Ahorn	Germany	+49 9561 4280 472	www.cipres.de	info@cipres.de	Industrial and Services	Service Bureau	NaN
citim GmbH	Steinfeldstrasse 7	39179	Barleben	Germany	+49 39203 51060	www.citim.de	info@citim.de	Industrial and Services	Service Bureau	NaN
SLS Kunststoffverarbeitungs-Gesellschaf mbH & Co. KG	Industriestrasse 11	66994	Dahn	Germany	+49 6391 92430	www.SLS-Kunststoffprofile.de	info@sls-kunststoffprofile.de		IM	"https://www.sls-kunststoffprofile.de
Die Firma SLS mit einem mittlerweile 27.574 m² großen Firmengelände produziert pro Jahr im Schichtbetrieb ca. 7.000 t Material auf 30 modernen Extrusionsanlagen. Neben Standard- und Sonderanfertigungen bieten wir folgende Dienstleistungen an: Entwicklung, Konstruktion, Werkzeugbau, Produktion, Konfektionierung"
CNC-Technik MACK GmbH & Co. KG	Dieselstrasse 25	89160	Dornstadt	Germany	+49 7348 20060	www.cnc-mack.de	info@cnc-mack.de	Industrial and Services	CNC Machining	"https://www.cnc-mack.de/index.php
Ihr professioneller Partner fürCNC-Fertigung in allen Branchen. und sind der zuverlässige Partner rund um die Zerspanungstechnologie. Unser Leistungsspektrum umfasst neben der Produktion von CNC-Fräs- und Drehteilen u. a. die Fertigung von Schweiß­konstruktionen, Montage von kompletten Baugruppen und Maschinen, Schleifen von ..."
Wilhelm Hafner GmbH & Co. KG	Am Krähenhag 38	78315	Radolfzell	Germany	+49 7732 7195	www.hafner-gmbh.com	info@hafner-gmbh.com	Industrial and Services	CNC Machining	"hafner-gmbh.com
info@hafner-gmbh.com. Bearbeitung Bestückung Konfektion. Wir verlängern Ihre Werkbank . Es gibt viele Gründe dafür, ein Lohnfertigungsunternehmen als verlängerte Werkbank in die Prozesskette einzubinden – zum Beispiel bei Überkapazitäten oder um ganze Fertigungsschritte auszulagern. Und es gibt mindestens ebenso viele Gründe dafür, auf das Know-how unseres Teams zu vertrauen. Seit ..."
Cox 3D	Dr.-Wilhelm-Külz-Str.6	1796	Pirna	Germany	+49 3501 571 0885	www.cox3d.de	info@cox3d.de	Industrial and Services	Service Bureau	"https://www.cox3d.de
COX 3D ist Ihr Partner, wenn es um hochwertigen 3D Druck sehr feiner Modelle, überzeugende Prototypen, die Generierung von komplexen 3D Freiformflächen oder digital gestalteter figürlicher Objekte geht. Wir haben uns in diesem innovativen Zukunftssegment spezialisiert. Profitieren Sie von unseren Erfahrungen. 3D Druck."
voxeljet AG	Paul-Lenz-Straße 1a	86316	Friedberg	Germany	+49 821 7483 100	www.voxeljet.com	info@voxeljet.com	Industrial and Services	Service Bureau	"https://www.voxeljet.com
voxeljet is a global innovator and technology driver for advanced 3D printing solutions in industrial production environments. Equipped with state-of-the-art binder-jet components and seamlessly integrated into partially or fully automated production environments, our 3D production systems are sustainably shifting the economic parameters and possible applications of additive manufacturing in ..."
3Dvo-Designs	Dexbacher Strasse 24	35116	Hatzfeld (Eder)	Germany	+49 6467 3939814	www.3Dvo-Designs.de	info@3Dvo-Designs.de	Industrial and Services	Service Bureau	"https://www.3dvo-designs.de
Konstruktionsfreiheit. Die wesentlichen Vorteile des 3D-Drucks werden im Vergleich mit herkömmlichen Fertigungsverfahren deutlich: Während abtragende oder umformende Techniken wie Fräsen, Schmieden, Schweißen, Bohren oder Löten bei der Herstellung komplexer Geometrien an ihre Grenzen stoßen, können mithilfe additiver Verfahren auch Hinterschneidungen, Hohlräume oder innenliegende ..."
AusdruckD! GmbH	Nürnberger Strasse 40	90513	Zirndorf	Germany	+49 911 99946911	www.AusdruckD.de	info@AusdruckD.de	Industrial and Services	Service Bureau	"https://www.ausdruckd.de
Click and Meet – AusdruckD ist für Sie da! Sie können uns nun wieder persönlich in unseren Geschäftsräumen in der Nürnberger Str. 40 in Zirndorf besuchen, dazu müssen Sie nur einen Termin mit uns vereinbaren! Über unsere innovativen ""Geschenk-Ideen Made in Zirndorf"" freut sich Oma, Opa, Mama, Papa, Tante, Onkel, Freund und Freundin ...
Geschätzte Lesezeit: 40 Sekunden"
D3D Additive Manufacturing GmbH	Am Umspannwerk 4	88255	Baindt	Germany	+49 7502 6797155	www.d3d-am.de	info@d3d-am.de	Industrial and Services	Service Bureau	"https://d3d-am.de
3D-Metalldruckvon D3D AdditiveManufacturing. Wir bei D3D Additive Manufacturing produzieren mittels 3D-Metalldruck komplexe Bauteile in kürzester Zeit. Durch unser selektives Laserschmelzen ist kein Einsatz von Formen und Werkzeugen nötig um auf Basis von CAD-Daten voll belastbare Metallbauteile in flexiblen Losgrößen zu beschaffen."
HENKON - Hennecke Konstruktion & CAD	Pfeifershof 16a	57399	Kirchhundem	Germany	+49 176 61024279	www.henkon.net	hennecke@henkon.net	Industrial and Services	Service Bureau	"https://www.henkon.net
Konstruktion aus Leidenschaft. Konstruktionsdienstleistung vor allem im Bereich Vorrichtungsbau. Produktentwicklung bis zur Serienreife mit 3D-CAD und 3D Druck. Entwicklung und Konstruktion, sowie Fertigung und Montage aus einer Hand."
Web TV Berater GmbH DDD Printservice	Industriestraße 1	30855	Langenhagen	Germany	+ 49 511 72 63 51 03	www.dddprintservice.de	info@dddprintservice.de	Industrial and Services	Service Bureau	NaN
Technischer Labor Service	Feodor-Lynen-Strasse 31	30625	Hannover	Germany	+49 511 5466505	www.technischer-laborservice.de	info@technischer-laborservice.de	Healthcare	Medical Equipment	"www.technischer-laborservice.de
Neu! 3D Modelle für die OP-Planung von CT oder MRT Daten mit Hilfe des sehr präzisen und schnellen Rapid-Prototyping-Fertigungsverfahrens Sonderanfertigungen, Entwicklung & Service für die biomedizinische Forschung. Wir arbeiten herstellerunabhängig und bieten für alle Fabrikate unseren Service an. Unsere Erfahrung im Bereich Labortechnik garantiert professionelles Know-how sowohl …"
All About Cards S&K Solutions GmbH & Co. KG	Sailerwöhr 16	94032	Passau	Germany	+49 851 20093010	www.allaboutcards.de	info@allaboutcards.de	Consumer Goods and Electronics	FMCG	"https://www.allaboutcards.de
All About Cards ist Ihr Experte für Plastikkarten, Chipkarten, Kartensysteme und Kartendrucker. Wir bedrucken und personalisieren Ihre Plastikkarten und Ausweiskarten und unterstützen Sie von der Gestaltung bis hin zum Kundenmailing oder der Konfektionierung in hochwertige Geschenkverpackungen. Die Karte sehen wir ganzheitlich, als ..."
Anton Clemens GmbH & Co KG, Kunststoffverarbeitung	Braunsberg 35	51429	Bergisch Gladbach	Germany	+49 2204 98990	www.anton-clemens.de	info@anton-clemens.de	Industrial and Services	Engineering & Product Design	"https://www.anton-clemens.de
Die Anton Clemens GmbH & Co. KG realisiert Ideen rund um anspruchsvolle Kunststoffspritzgussteile. Von einzelnen Werkstücken bis hin zu komplexen Baugruppen und einbaufertigen Systemlösungen. Entwicklung, Produktion und Weiterverarbeitung betrachten wir ganzheitlich. Und sparen damit unseren Kunden und uns Zeit und Kosten."
BÖLLINGER GROUP Holding GmbH	Salinenstrasse 38-44	74177	Bad Friederichshall	Germany	+49 7136 96340	www.boellinger-group.com	info@boellinger-group.com	Industrial and Services	CNC Machining	"https://www.boellinger-group.com
Die BÖLLINGER GROUP ist der Spezialist für die Herstellung von innovativen Prototypen, Entwicklungsteilen sowie Nischen- und Sonderserienvolumen in der Automobilindustrie, Luft- und Raumfahrt, Maschinen- und Anlagenbau sowie der Konsumgüterindustrie. Je nach Anforderung gibt es dabei verschiedene Möglichkeiten zur Herstellung der Bauteile – angefangen beim Additive …"
Hammer Automationstechnik	Bei den Eichen 16	72227	Egenhausen	Germany	+49 7453 8108	www.hammer-automation.de	info@hammer-automation.de	Industrial and Services	Machinery & Equipment	"https://hammer-automation.de
Hammer Automationstechnik GmbH Freudenstädter Straße 14 72227 Egenhausen. 07453 – 8108 07453 – 1774 info@hammer-automation.de. Rufen Sie uns an: 07453 / 8108
Geschätzte Lesezeit: 1 min"
Kampmeier Kunststoff GmbH	Auf der Bache 21	33129	Delbrück	Germany	+49 5250 932280	www.kampmeier.de	info@kampmeier.de	Industrial and Services	Service Bureau	"kampmeier.de
Kampmeier Kunststoff GmbH | Innovationen in Form gebracht _Startseite. Wir fertigen zu 100% regenerativ durch Einsatz erneuerbarer. Energien aus Wind-, Solar- und Wasserkraft. Wir fertigen äußerst energieeffizient durch Einsatz. hochpräziser, vollelektrischer Spritzgußmaschinen. Der Fokus unserer Fertigung befindet sich im Bereich der."
MegaPlast GmbH	Altersbacher Strasse 14	98587	Steinbach-Hallenberg	Germany	+49 36847 52250	www.megaplast-sh.com	info@megaplast-sh.com	Industrial and Services	IM	"https://www.megaplast-sh.com
06.05.2021 · Unser Leistungsangebot: Formteil-, Werkzeug- und Geräteentwicklung. Kunststoffspritzgießen (1- und 2-Komponenten) Ingenieurtechnische Beratung und umfassender Service. Vorserienwerkzeuge. Alu Tooling."
Doppkon GmbH & Co. KG	Mühlgasse 22	78549	Spaichingen	Germany	+49 7424 9479822	www.doppkon.de	info@doppkon.de	Industrial and Services	Service Bureau	"www.doppkon.de
Doppkon GmbH & Co. KG | Entwicklung für Medizintechnik Willkommen auf der Webseite von DOPPKON. Wir sind nicht nur ein Konstruktionsbüro. WIR sind IHR Partner für Entwicklungsprojekte in der Medizintechnik.
Geschätzte Lesezeit: 40 Sekunden"
MueSys 3D Kunststoffdruck	Im Stenn 4	35719	Angelburg	Germany	+49 6464 916715	www.muesys-3d-druck.de	info@muesys-3d-druck.de	Industrial and Services	Service Bureau	NaN
NRU GmbH	Südstrasse 3	9221	Neukirchen	Germany	+49 371 281550	www.nru-gmbh.de	info@nru-gmbh.de	Industrial and Services	Machinery & Equipment	"https://www.nru-gmbh.de
Ihre Feingussteile in 10 Werktagen. Unter Verwendung modernster 3D-Druck und Feingusstechnologie. Angebot anfordern. Flexibler Produktionsprozess. Prototypen und Kleinserien in allen Werkstoffklassen. Kontakt aufnehmen. Automatisierte Schalenherstellung. Hohe Fertigungskapazitäten bei reproduzierbaren Qualitätseigenschaften. Mehr erfahren."
PS Modellbau Prototyping Solutions	PS Modellbau Prototyping Solutions	51469	Bergisch Gladbach	Germany	+49 2202 35866	www.ps-modellbau.de	info@ps-modellbau.de	Industrial and Services	Service Bureau	"https://www.ps-modellbau.de
Auf diesen Seiten finden Sie alle Informationen rund um den Messe- Modell- und Prototypenbau, egal ob in klassischer Handwerksarbeit oder im 3D-Druck."
RM Kessler GmbH	Wipperfürther Strasse 384	51515	Kürten	Germany	+49 2268 909060	www.rmkessler.de	info@rmkessler.de	Industrial and Services	Service Bureau	NaN
TIMETOOL RAPID PROTOTYPING R.Behrens	Pankstrasse 8-10 E	13127	Berlin	Germany	+49 30 200911400	www.timetool-technology.de	prototyping@timetool-technology.de	Industrial and Services	Service Bureau	"www.timetool-technology.de
Baustelle. Wir arbeiten mit Hochdruck an unserer neuen Website. Telefon: 03301-5737430; Sachsenhausener Str. 29A, D-16515 Oranienburg; prototyping@timetool-technology.de"
VWH GmbH	Bahnhofstrasse 104,	56414	Herschbach	Germany	+49 6435 3090	www.vwh.de	info@vwh.de	Industrial and Services	Service Bureau	"https://vwh.de
Weltweit eingesetzte Sondermaschinen für die automatisierte Produktion und innovative Produktformen von Morgen stammen aus dem Westerwald. Hier vereint die VWH GmbH den klassisch anspruchsvollen Werkzeug- und Sondermaschinenbau, eine hochkomplexe Automatisierungstechnik und innovatives Engineering unter einem Dach."
Siepe GmbH	Hüttenstraße 185	50170	Kerpen-Sindorf	Germany	+49 2273 5690	www.siepe.net	einkauf@siepe.net	Consumer Goods and Electronics	Fluid Systems & Pipes	"https://www.siepe.net
Über unsere Kontaktseite finden Sie den richtigen Ansprechpartner! Sprechen Sie uns noch heute an! Wir beraten Sie gerne. Tel.: +49 (0) 2273 - 569 20. E-Mail: verkauf@siepe.net. Unsere Produktionsverfahren. Unsere Produkte. Unsere offenen Stellen."
FASTPART Kunststofftechnik GmbH	Wolfener Straße 37	12681	Berlin	Germany	+49 30 9366630	www.fastpart.de	mail@fast-part.com	Industrial and Services	Engineering & Product Design	"https://www.fast-part.de
Die Fastpart Kunststofftechnik GmbH aus Berlin Marzahn ist ein Dienstleister im Entwicklungsbereich von Kunststoffteilen. Wir gelten als zuverlässiger Lieferant von Prototypen und Kleinserien."
Apium Additive Technologies GmbH	Willy-Andreas-Allee 19	76131	Karlsruhe	Germany	+49 721 68030870	www.apiumtec.com	info@apiumtec.com	Industrial and Services	Service Bureau	"https://apiumtec.com
Apium 3D-Drucker für Hochleistungsthermoplaste wie PEEK, PEI, PVDF. Industrielle 3D-Drucker. Belastbare steife Materialien mit hoher chemischer Resistenz und faserverstärkte Polymere mit 30% Faseranteil verarbeitbar. Sparen Sie Herstellungskosten in der Kleinserienfertigung. Erfahren Sie mehr."
FORMWERK 3D	Marienstra0e 4	30171	Hannover	Germany	+49 511 89 97 32 02	www.formwerk3d.com	info@formwerk3d.de	Industrial and Services	Service Bureau	NaN
cirp GmbH	Römerstrasse 8	71296	Heimsheim	Germany	+49 7033 309870	www.cirp.de	info@cirp.de	Industrial and Services	Service Bureau	"https://cirp.de
Vom ersten Entwurf bis zum Serienanlauf unterstützt die cirp GmbH ihre Kunden. Wir arbeiten in den Bereichen Entwicklung und Konstruktion mit modernsten CAD/CAM-Systemen und 3D Scantechnologien zur Erstellung Ihrer CAD Modelle.Mit unserem Maschinenpark der neuesten Generation stehen Ihnen darüber hinaus in den Bereichen Additive Fertigung, Modell- und Formenbau sowie Rapid Tooling ..."
Franken Guss GmbH & Co. KG	An der Jungfernmühle 1	97318	Kitzingen	Germany	+49 9321 9320	www.frankgenguss.de	info@frankenguss.de	Industrial and Services	IM	"https://www.frankenguss.de
27.05.2021 · Franken Guss ist der Spezialist für maßgeschneiderte Lösungen aus Eisen- und Aluminiumguss sowie im 3D-Druck (Additive Fertigung) aus Kitzingen: anspruchsvolle Prototypen, wegweisende Technikkomponenten und Serienfertigungen an einem Standort. Franken Guss GmbH & Co. KG. An der Jungfernmühle 1, 97318 Kitzingen +49 9321 932-0. info@frankenguss.de. Nach oben. …"
Copynet INNOVATION GmbH	Heidenkampsweg 45	20097	Hamburg	Germany	+49 40 2385450	www.copynet.de	wlw@copynet.de	Industrial and Services	Service Bureau	NaN
